Pitcher,Number,Exp_Day,Plant,Treatment,First,Second,Third,Fourth,Total_Resident,Corrected_Pro,Corrected_Chit,log_Pro,log_Chit
1_1,1,0,1,Addition,2,2,0,0,4,43.63705275,2.414209041,1.639855411,0.382774872
1_2,2,0,1,Variable,0,0,0,0,0,21.48009011,1.956440809,1.332036099,0.291466713
1_3,3,0,1,Removal,0,1,0,0,1,124.8805824,22.67944131,2.096494915,1.355632352
10_1,4,0,10,Addition,2,1,0,0,3,5.165474725,0.606283467,0.713110241,-0.217324275
10_2,5,0,10,Removal,0,0,0,0,0,13.63119048,2.354355395,1.134533787,0.371872021
12_1,6,0,12,Variable,0,1,0,0,1,53.88786593,6.345869381,1.731490985,0.802491129
12_2,7,0,12,Addition,0,2,0,0,2,20.1831685,4.269822927,1.304989346,0.630409865
13_1,8,0,13,Addition,3,0,0,0,3,103.2858337,1.420292957,2.014040759,0.152377933
14_1,9,0,14,NA,0,0,0,0,0,54.84198755,4.867404346,1.739113186,0.687297426
14_2,10,0,14A,Removal,0,0,0,0,0,17.60078315,2.841877872,1.245531992,0.45360541
14_3,11,0,14A,Variable,0,0,0,0,0,19.33331941,1.737627622,1.286306426,0.239956712
14_4,12,0,14B,Removal,0,0,0,0,0,35.49572967,6.859316434,1.550176108,0.836280838
16_1,13,0,16,Removal,0,0,0,0,0,12.66315824,2.085328422,1.102542034,0.319174462
16_2,14,0,16B,Removal,0,0,0,0,0,11.50205788,1.136644605,1.060775549,0.055624695
16_3,15,0,16C,Removal,0,0,0,0,0,24.20321685,1.38656019,1.383873092,0.141938727
16_4,16,0,16A,Variable,0,0,0,0,0,41.80672747,6.522472777,1.621246173,0.814412275
17_1,17,0,17,Removal,0,0,0,0,0,31.34290623,7.564113636,1.496139263,0.878758045
17_2,18,0,17,Removal,0,0,0,0,0,23.53532088,5.597093157,1.371720124,0.747962535
18_1,19,0,18,Variable,0,1,0,0,1,5.690664469,0.817925824,0.75516298,-0.08728608
18_2,20,0,18,Variable,0,0,0,0,0,23.4768315,4.759388362,1.370639483,0.677551144
19_1,21,0,19,Addition,0,1,0,0,1,6.97929304,26.42211446,0.843811433,1.42196757
19_2,22,0,19,Removal,0,0,0,0,0,48.08778388,5.775437313,1.682034763,0.761584874
2_1,23,0,2,Variable,0,0,0,0,0,31.22627473,10.00313262,1.494520176,1.000136027
2_2,24,0,2,Addition,2,0,0,0,2,29.46284908,2.174025225,1.469274741,0.337264579
2_3,25,0,2,Variable,0,0,0,0,0,16.30046667,1.091395854,1.212200038,0.0379823
20_1,26,0,20,Addition,4,0,0,0,4,49.29428645,0.751016234,1.692796584,-0.124350675
21_1,27,0,21,Addition,4,0,0,0,4,23.23829231,1.530737512,1.36620421,0.184900725
21_2,28,0,21,Removal,1,0,0,0,1,8.516954579,4.827079171,0.930284331,0.683684422
22_1,29,0,22,Variable,0,0,0,0,0,39.20509963,4.918387363,1.593342562,0.69182273
22_2,30,0,22A,Addition,5,0,0,0,5,14.88890037,2.479967283,1.172862624,0.394445951
23_1,31,0,23,Variable,0,0,0,0,0,128.3002791,1.904915335,2.108227601,0.279875678
24_1,32,0,24,Removal,0,0,0,0,0,25.46201392,1.385485265,1.405892751,0.141601911
25_1,33,0,25,Variable,0,0,0,0,0,45.95512308,32.69279695,1.662333934,1.514452077
25_2,34,0,25,Removal,0,0,0,0,0,8.389738462,0.942527223,0.923748423,-0.025706097
25_3,35,0,25A,Addition,2,2,0,0,4,106.4583744,5.762173077,2.02717983,0.760586299
26_1,36,0,26,Addition,2,3,0,0,5,23.73183077,2.804677073,1.375331243,0.447882864
27_1,37,0,27,Removal,0,0,0,0,0,149.5358205,11.85912812,2.174745238,1.074052761
27_2,38,0,27,Addition,3,0,0,0,3,30.41769744,1.750046703,1.483126336,0.243049639
27_3,39,0,27,Addition,3,0,0,0,3,14.17137802,2.420731518,1.151412083,0.383946625
27_4,40,0,27A,Variable,0,0,0,0,0,38.44128132,2.942329421,1.584797855,0.468691294
28_1,41,0,28,Variable,0,0,0,0,0,23.38136484,0.825874875,1.368869859,-0.083085746
29_1,42,0,29,Addition,4,0,0,0,4,108.1609048,4.248593157,2.034070312,0.628245145
29_2,43,0,29,Addition,2,0,0,0,2,16.59788645,10.66427847,1.220052789,1.027931477
3_1,44,0,3,Variable,0,1,0,0,1,38.29784542,3.976967283,1.583174342,0.599552018
3_2,45,0,3,Removal,1,0,0,0,1,50.1920022,26.79525899,1.70063452,1.428057959
3_3,46,0,3,Addition,2,1,0,0,3,14.82060586,1.917657592,1.170865958,0.282771064
4_2,47,0,4,Addition,1,2,0,0,3,87.65964029,1.632095654,1.942799684,0.212745608
4_3,48,0,4A,NA,1,2,0,0,3,10.6011685,0.424044206,1.025353737,-0.372588866
6_1,49,0,5,Variable,0,0,0,0,0,11.56555678,2.227909341,1.063166545,0.347897514
6_2,50,0,5,Removal,0,0,0,0,0,22.76662344,2.756463287,1.357298624,0.440352213
8_1,51,0,8,Removal,0,0,0,0,0,32.3670967,5.22333991,1.510103745,0.717948289
8_2,52,0,8,Removal,1,0,0,0,1,30.86711868,2.214790959,1.489496092,0.345332742
8_3,53,0,8B,Addition,2,0,0,0,2,39.4890381,3.073454795,1.596476555,0.48762683
8_4,54,0,8A,Variable,0,0,0,0,0,113.1290176,9.696276474,2.053574016,0.98660499
8_5,55,0,8A,Variable,0,1,0,0,1,50.55663223,6.013872378,1.703778136,0.779154208
9_1,56,0,9,Removal,0,0,0,0,0,26.74765055,1.377268482,1.427285641,0.139018609
9_2,57,0,9,Addition,1,0,0,0,1,8.044520879,0.907867383,0.905500183,-0.041977587
9_3,58,0,9A,Removal,1,0,0,0,1,10.35575458,0.586873876,1.01518175,-0.231455222
1_1,59,3,1,Addition,4,2,0,0,6,NA,NA,#VALUE!,#VALUE!
1_2,60,3,1,Variable,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
1_3,61,3,1,Removal,0,1,0,0,1,NA,NA,#VALUE!,#VALUE!
10_1,62,3,10,Addition,2,1,0,0,3,NA,NA,#VALUE!,#VALUE!
10_2,63,3,10,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
12_1,64,3,12,Variable,0,1,0,0,1,NA,NA,#VALUE!,#VALUE!
12_2,65,3,12,Addition,2,2,0,0,4,NA,NA,#VALUE!,#VALUE!
13_1,66,3,13,Addition,3,0,0,0,3,NA,NA,#VALUE!,#VALUE!
14_1,67,3,14,NA,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
14_2,68,3,14A,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
14_3,69,3,14A,Variable,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
14_4,70,3,14B,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
16_1,71,3,16,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
16_2,72,3,16B,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
16_3,73,3,16C,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
16_4,74,3,16A,Variable,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
17_1,75,3,17,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
17_2,76,3,17,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
18_1,77,3,18,Variable,0,1,0,0,1,NA,NA,#VALUE!,#VALUE!
18_2,78,3,18,Variable,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
19_1,79,3,19,Addition,3,1,0,0,4,NA,NA,#VALUE!,#VALUE!
19_2,80,3,19,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
2_1,81,3,2,Variable,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
2_2,82,3,2,Addition,4,0,0,0,4,NA,NA,#VALUE!,#VALUE!
2_3,83,3,2,Variable,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
20_1,84,3,20,Addition,5,0,0,0,5,NA,NA,#VALUE!,#VALUE!
21_1,85,3,21,Addition,4,0,0,0,4,NA,NA,#VALUE!,#VALUE!
21_2,86,3,21,Removal,1,0,0,0,1,NA,NA,#VALUE!,#VALUE!
22_1,87,3,22,Variable,3,0,0,0,3,NA,NA,#VALUE!,#VALUE!
22_2,88,3,22A,Addition,5,0,0,0,5,NA,NA,#VALUE!,#VALUE!
23_1,89,3,23,Variable,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
24_1,90,3,24,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
25_1,91,3,25,Variable,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
25_2,92,3,25,Removal,0,0,0,0,0,NA,NA,#VALUE!,#VALUE!
