"","Pitcher.ID","Total_Seasonal_Residence","First","Second","Third","Fourth","Total_Resident","RespRate","X2_Hydroxy.Benzoic.Acid","X4_Hydroxy.Benzoic.Acid","D.L_._Glycerol.Phosphate","D_Cellobiose","D_Galactonic.Acid.._Lactone","D_Galacturonic.Acid","D_Glucosaminic.Aicd","D_Malic.Acid","D_Mannitol","D_Xylose","X._Amino.Butyric.Acid","Glucose_1_Phosphate","Glycogen","Glycyl_L_Glutamic.Acid","i_Erythritol","Itaconic.Acid","L_Arginine","L_Asparginine","L_Phenylalanine","L_Serine","L_Threonine","N_Acetyl_D_Glucosamine","Phenylethylamine","Putrescine","Pyruvic.Acid.Methyl.Ester","Tween.40","Tween.80","X._Cyclodextrin","X._D_Lactose","X._Ketobutyric.Acid","X._Methyl_D_Glucoside","Amines","Phosphate_carbon","Carbohydrates","Carboxylic_acids","Complex_carbon_sources","trans_resp","trans_D_Galactonic.Acid.Lactone","trans_D_Glucosaminic.Acid","trans_D_Malic.Acid","trans_D_Xylose","trans_Amino.Butyric.Acid","trans_Glycogen","trans_Glycyl.L.Glutamic.Acid","trans_L_Arginine","trans_phenylethylamine","trans_Complex_carbon_sources","TN","TP","TOC","trans_TOC","trans_TN","trans_TP","Treatment"
"1","1_1",45,3,5,1,3,12,0.055241067,0.02366667,0.57133333,0.7493333,0.08333333,0.015,1.3953333,0.9676667,0.083666667,1.5743333,0.011666667,1.0933333,1.309,0.008,0.28366667,0.5083333,0.018,0.4293333,0.9543333,0.7476667,0.55,0.5916667,1.823,0.308,0.263,1.0086667,2.219333,0.9653333,0.004333333,0.63433333,0.478666667,1.9806667,0.2855,1.0291667,0.9450952,0.5655333,0.79925,0.235034182620316,0.122474487139159,0.983700513367763,0.289251909241754,0.108012346516498,1.04562579348446,0.0894427190999916,0.532603670659525,0.655235301246812,0.554977477020464,-0.224081491042186,0.9,1.95,10.5,3.24037034920393,0.948683298050514,0.716114874039433,"addition"
"2","12_1",28,0,0,3,2,5,0.018596975,0,0.151,0.513,1.688,0.637,2.471,2.197,0.058,2.0346667,0.007333333,0.8293333,1.7056667,0.192,1.397,1.3863333,0,0.6136667,1.511,0.6243333,1.5856667,0.5286667,2.35,0,1.1973333,1.5336667,1.809667,1.0563333,0.856666667,0.048,0.009,2.7446667,0.59866667,1.1093333,1.4655714,0.7886,0.9786667,0.136370726330837,0.798122797569397,1.48222805262888,0.240831891575846,0.0856348819115201,0.910677385246828,0.438178046004133,1.18194754536739,0.783368814799262,0,-0.0215641438558956,1,1.4,0,0,1,0.845154254728517,"variable"
"3","13_1",49,0,2,8,0,10,0.026858951,0,0.675,0.2783333,1.20533333,0.744,2.844,2.3956667,1.055666667,1.898,0.007333333,1.3093333,1.8876667,0.081,0.367,1.7693333,0.44666667,0.4323333,1.8883333,0.8976667,1.1066667,0.7686667,2.645333,0.235,1.2043333,1.868,1.651333,1.246,0.424666667,0.01066667,0,2.9733333,0.71966667,1.083,1.5013333,1.1338333,0.85075,0.163887006806519,0.862554346113913,1.54779414005868,1.0274564063745,0.0856348819115201,1.14426102791277,0.284604989415154,0.605805249234438,0.657520570020437,0.484767985741633,-0.161636965601122,0.1,1.1,58,7.61577310586391,0.316227766016838,0.953462589245592,"addition"
"4","14_2",7,0,0,0,0,0,0.014289316,0,0.01966667,0.4843333,0.55033333,0.02266667,0.5036667,0.263,0.014,0.6526667,0.034333333,0.4576667,0.018,0.41,0.062,0.054,0,0.2303333,0.926,0.2366667,0.7886667,0.2846667,1.008667,0,0,0.3996667,1.69,0.9263333,0.001333333,0.064,0,0.1733333,0,0.2511667,0.3624762,0.1680333,0.7569167,0.119537927035732,0.150554541612002,0.512835256198323,0.118321595661992,0.185292560563019,0.676510679886135,0.640312423743285,0.248997991959775,0.479930515804111,0,-0.278502071229611,0,0.8,9.5,3.08220700148449,0,1.11803398874989,"removal"
"5","14_3",27,0,3,2,0,5,0.012310864,0,0.353,0.5336667,0,0.44333333,1.9236667,0.668,0.018,1.3516667,0,1.0973333,1.6546667,0.16733333,0.53033333,0.976,0,0.3916667,1.4663333,0.802,0.8696667,0.512,2.293333,0.222,0.325,1.251,1.437333,0.8526667,0.059333333,0,0,2.7536667,0.2735,1.0941667,1.0535238,0.5754333,0.6291667,0.11095433294829,0.665832809344808,0.817312669668102,0.134164078649987,0,1.04753677739734,0.409063968102789,0.728239884928037,0.625832805148468,0.47116875957559,-0.463359033546936,0.6,1,NA,NA,0.774596669241483,1,"variable"
"6","16_1",2,0,0,0,0,0,0.017114138,0,0.55166667,1.382,1.83266667,0.047,1.003,0.597,0.017666667,1.3603333,0.013333333,0.869,0.4656667,1.43566667,0.342,0.6233333,0.02266667,0.479,1.3976667,0.5973333,0.9876667,0.4726667,2.257,0.208,0.509,0.8893333,1.764,0.9743333,1.017,0.05366667,0.026333333,2.6276667,0.3585,0.9238333,1.2525714,0.4023667,1.29775,0.130821015131362,0.216794833886788,0.772657750883274,0.132916014836437,0.115470052394549,0.932201694913713,1.19819308544157,0.584807660688538,0.692098258919931,0.456070170039655,0.260631995725201,0,3.1,11,3.3166247903554,0,0.567961834247065,"removal"
"7","16_2",4,0,0,2,0,2,0.015535418,0,0.19633333,0.644,0.60366667,0.13366667,1.8933333,0.9176667,0,0.9146667,0,0.4056667,0.9976667,0.48266667,0.12333333,0.9843333,0,0.321,0.7206667,0.3796667,0.7063333,0.334,1.766333,0.062666667,0.017,0.9693333,1.479,0.6156667,0.015,1.25433333,0,2.454,0.03983333,0.8208333,1.139619,0.4516,0.6480833,0.124641156926595,0.365604526777227,0.957949215772945,0,0,0.636919696665129,0.694742160805,0.351188453682635,0.566568618968612,0.250333112072694,-0.43373604150891,0.3,6.2,0,0,0.547722557505166,0.401609664451249,"removal"
"8","16_3",0,0,0,0,0,0,0.015163258,0.02733333,0.805,1.2866667,2.50233333,1.45066667,2.383,0.861,1.522,2.4086667,0.060666667,0.808,1.8573333,0.93766667,0.41866667,0.8533333,0.23266667,0.7166667,2.0386667,0.71,1.4953333,0.4376667,2.396667,0.312666667,0.3436667,1.267,2.412,1.4286667,0.211333333,0.58733333,0.238,2.694,0.32816667,1.572,1.6432857,0.9594667,1.2474167,0.123139181416802,1.2044362457183,0.927900856772964,1.23369364106329,0.246306043368814,0.898888202169769,0.968331900744781,0.647044565698531,0.8465616929675,0.559166046000649,0.22107477286699,0,1,15.5,3.93700393700591,0,1,"removal"
"9","16_4",6,0,0,0,0,0,0.018547255,0,0.194,0.3926667,0,0.03066667,2.3473333,1.9303333,0.016,1.3656667,0.008,0.852,1.74,0.20566667,0.14266667,1.638,0,0.4306667,0.9453333,0.8156667,0.985,0.2363333,2.253667,0,0,1.684,1.691,1.0943333,0,1.33466667,0,2.876,0,1.0663333,1.3537143,0.7054333,0.74775,0.136188307133909,0.17511901667152,1.3893643510613,0.126491106406735,0.0894427190999916,0.923038460737146,0.453504873182196,0.377712417058269,0.656252009520733,0,-0.29068658147208,0,1.45,3.5,1.87082869338697,0,0.8304547985374,"variable"
"10","2_1",16,0,3,1,1,5,0.002476286,0,0.289,0.4443333,0.76066667,1.73566667,2.111,2.0446667,0.000666667,2.1643333,0.018333333,0.473,1.6403333,0.01966667,1.36566667,1.1246667,0.173,0.3773333,2.0223333,0.4446667,1.284,0.4273333,2.151333,0.409666667,0.7516667,1.3396667,1.300333,0.8783333,0.053,0.01166667,0.013666667,2.362,0.58066667,1.0423333,1.2275714,0.8180333,0.5628333,0.0497622949631546,1.31744702739807,1.42991842424664,0.0258198954296875,0.135400638846351,0.687749954561976,0.140237905004318,1.16861741814847,0.614274612856498,0.640052081474625,-0.57477178704879,0,1.5,12.5,3.53553390593274,0,0.816496580927726,"variable"
