,Kingdom,Phylum,Class,Order,Family,Genus,Species
e3bd8361b90c1bb8793425d4ebafb25c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Unassigned Hyphomicrobium
b3c1a98da438d1d8b498d3c8eb6552d4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium,Rhodomicrobium_vannielii
bbf91786097edc8f44a3bb25815abf54,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium,Rhodomicrobium_vannielii
6d1e90151a9fb87cbd97339c61aba82c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium,Rhodomicrobium_vannielii
870d71aa177d39506fe03f91e7804047,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales
c99411617a88b5f4a84ba5b6cd7eea01,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
fe3e82fbb6e8baf5c3306f48961f84ca,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
cb3cc5876d4b54a19741bf207cf7e4ee,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
6274c58eb59f0132266844bdd9f1d258,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
d1ba27b3843fb2b2e6d24b61e2f755e2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
a33256607b2238a4d2980cedd2619640,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
e0cd95ce3c92a47870a5ea91297af6cb,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
6cf16d4070e1ff27f0a27af9fdeda082,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
4632c30a989c44dca059c1e9055cf125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
498abe6729c83799b2bfcf99dea442c5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
c1f2eeffb3ca769037ee435d52d5afb1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,Unassigned Kaistia
2cbbf143e4859a42bdd7096b59d3342f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,Unassigned Methylocella
79f799375e959c54fc3cb586fa1720b1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella,Unassigned Methylocella
3c93aac1890ad3b6d555dd39fecf43a3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
44aebeb708e40488abc049753341a94e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
d1f259390023945a2f97d71fb5afa195,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Rhodoblastus,Rhodoblastus_acidophilus
62d93060a86b3c0bb37b3634e5529004,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Rhodoblastus,Rhodoblastus_acidophilus
869c2c2c72dc4c2f2d0b0961b8412459,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales
62f2ca0a35761f1dca706cd4bd60d153,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales
a1f35be34e60d2f8a0f191506107e7aa,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Unassigned Beijerinckiaceae,Unassigned Beijerinckiaceae
7177cd7a0eb855f3a0ee296d906ca8e3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales
09506636cba33e263a68e5127b27018b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,Unassigned Labrys
a14dba977118e6ed10127d8aa33cbb40,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,Unassigned Labrys
ef7a55ada7a4d55e1e4c96a78b8689b5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,Unassigned Labrys
616712bd46b50a38359855560f1fb748,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,Unassigned Labrys
4788bef2bb42fca1cff94570261d4f0c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales,Unassigned Rhizobiales
c53215f72a5f346870f7e81352cdef29,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia,Unassigned Beijerinckia
1819787d4d285ccd876a7f56b5b67a59,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
215edfc78b926e93094ec82bdacc3145,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
20ce8f70db4d18b6e24c804fd2c2f21d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
5fb4727e4c4bba302c839b568cfde71c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
edd3b59a7602cc7e401eff7f001f4f40,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
14331f18e634d3684c9185733a8c7be7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
f940a993ebf316222a8e5a628d1309af,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
0a610a9c7974b122ea23e575ac33aa96,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
7601a936f4b1dd4021e70c142e0186af,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
6c0eee0382736ee73c4b32cd49e8d2b3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
938047066e8588bd8582c784b9f33e01,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
ecdb0d8ba3a8b882009abef07b492913,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
33c31fcc2bb91a3ccc989a319d8bdd44,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
be2b660a28b3c71aa50656ebe4d32089,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
77fde9d165177b82ffc4fd07c40aab1e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
71bedb19b32a00fdea3bc9b2e942e404,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
3f8061dd78be1774878c920da8007387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
56bed4b5479ad55619ab9259c1e06de5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
027462061f512c12f78a5497caa4f824,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
5bedc5a49a79db057750825d1cafce53,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
e2b617a58d3064f7cd32aedd651816de,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
e0ff6051df6b86d74f84c804bc1c7e52,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
e24d65113bb4dab153ec7b2c1742f6ca,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
696e3d81a6567cb1f910efaf6bf4548e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
6f813889bf14bfcc564f98a08dd0c870,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Unassigned Methylocystaceae,Unassigned Methylocystaceae
